Uen,Regional,Canal Comercial,Marquilla,Código Producto,Producto,min_Anio,min_Mes
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Cadenas y Grandes Superficies,PINTUCO,10375582,BROCHA ESTANDAR CERDA BLANCA 2 PULG PINTUCO,2022,2
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Cadenas y Grandes Superficies,PINTUCO,10375583,BROCHA ESTANDAR CERDA BLANCA 1 PULG PINTUCO,2022,2
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Cadenas y Grandes Superficies,PINTUCO,10375586,BROCHA ESTANDAR CERDA BLANCA 3 PULG PINTUCO,2022,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,OTROS,10393623,RODILLO NESPOLI TRIPOL ANTIGOTA FACHADA 9 PULG,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,OTROS,10393624,RODILLO NESPOLI MICROMIX ANTIGOTA 9 PULG,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,OTROS,10393635,EXTENSION NESPOLI 1-2M,2022,7
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,OTROS,10399328,WAGNER PAINT READY SPRAYER,2023,9
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338383,FELPA PROFESIONAL TEXTURAS 9 PULGADAS,2022,7
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338385,MANERAL ELITE CON JAULA SIN FELPA 9 PULGADAS,2022,7
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338390,BANDEJA PROFESIONAL 9 PULG CSU4809 PINTUCO,2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338406,BROCHA PROFESIONAL PLASTICO BLANCA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338407,"BROCHA PROFESIONAL PLASTICO BLANCA 1,5 PULG PINTUCO",2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338408,BROCHA PROFESIONAL PLASTICO BLANCA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338409,"BROCHA PROFESIONAL PLASTICO BLANCA 2,5 PULG PINTUCO",2023,11
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338410,BROCHA PROFESIONAL PLASTICO BLANCA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338411,BROCHA PROFESIONAL PLASTICO BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338420,BROCHA PROFESIONAL MADERA BLANCA POLIESTER 1 PULGADAS,2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338421,"BROCHA PROFESIONAL MADERA BLANCA POLIESTER 1,5 PULGADAS",2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338424,BROCHA PROFESIONAL MADERA BLANCA POLIESTER 3 PULGADAS,2023,6
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338435,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES CUARTOS,2022,7
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10338436,FELPA PROFESIONAL ALTA DENSIDAD 9 PULGADAS TRES OCTAVOS,2022,7
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375582,BROCHA ESTANDAR CERDA BLANCA 2 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375583,BROCHA ESTANDAR CERDA BLANCA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375584,"BROCHA ESTANDAR CERDA BLANCA 1,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375585,"BROCHA ESTANDAR CERDA BLANCA 2,5 PULG PINTUCO",2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375586,BROCHA ESTANDAR CERDA BLANCA 3 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375587,BROCHA ESTANDAR CERDA BLANCA 4 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375589,BROCHA ESTANDAR CERDA NEGRA 1 PULG PINTUCO,2023,12
ACC PARA PINTAR,REGIONAL BARRANQUILLA,Distribución,PINTUCO,10375590,"BROCHA ESTANDAR CERDA NEGRA 1,5 PULG PINTUCO",2023,11
